Timestamp,Vehicle ID,Class,Speed (km/h)
2026-01-15 01:20:31,2,car,26
2026-01-15 01:20:31,2,car,16
2026-01-15 01:20:31,2,car,24
2026-01-15 01:20:39,4,car,38
